Index		Events Name	Discription	Unit	
	34	TABLE_WALK.DTLB_UPDATE.4KB	number of dtlb update for 4k page	5	
	35	TABLE_WALK.DTLB_UPDATE.2MB	number of dtlb update for 2m page	5	
	36	TABLE_WALK.DTLB_UPDATE.1GB	number of dtlb update for 1g page	5	
	37	TABLE_WALK.ITLB_UPDATE	number of itlb update	5	
	38	TABLE_WALK.ITLB_UPDATE.4KB	number of itlb update for 4k page(include L2 TLB hit and tbale walk)	5	
	39	TABLE_WALK.ITLB_UPDATE.2MB	number of itlb update for 2m page	5	
	40	TABLE_WALK.ITLB_UPDATE.1GB	number of itlb update for 1g page	5	
	41	TABLE_WALK.PREFETCH	number of dtlb update for software prefetch	5	
	42	TABLE_WALK.STREAM PF	number of dtlb update for hardware prefetch	5	
	43	DTLB_LOAD_MISSES.LARGE_PAGE_WALK_DURATION	number of tablewalks for a 2M/1G page completed for load operation	5	
	44	DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK	number of load operations miss all level tlbs and cause a tablewalk	5	
	45	DTLB_LOAD_MISSES.STLB_HIT	number of load operations miss 1st level tlb but hit 2nd level tlb	5	
	46	DTLB_LOAD_MISSES.WALK_COMPLETED	number of load operations miss all level tlbs and cause a tablewalk and complete successfully	5	
	47	DTLB_LOAD_MISSES.WALK_DURATION	number of tablewalks caused by load operation	5	
	48	DTLB_STORE_MISSES.MISS_CAUS ES_A_WALK	number of store operations miss all level tlbs and cause a tablewalk	5	
	49	DTLB_STORE_MISSES.STLB_HIT	number of store operations miss 1st level tlb but hit 2nd level tlb	5	
	50	DTLB_STORE_MISSES.WALK_COMPLETED	number of store operations miss all level tlbs and cause a tablewalk and complete successfully	5	
	51	DTLB_STORE_MISSES.WALK_DUR ATION	number of tablewalks caused by store operation	5	
	52	ITLB_MISSES.MISS_CAUSES_A_WALK 	number of code operations miss all level tlbs and cause a tablewalk	5	
	53	ITLB_MISSES.STLB_HIT	number of code operations miss 1st level tlb but hit 2nd level tlb	5	
	54	ITLB_MISSES.WALK_COMPLETED	number of code operations cause a tablewalk and complete successfully	5	
	55	ITLB_MISSES.WALK_DURATION	number of tablewalks caused by code operation	5	
	56	L1D.REPLACEMENT	number of lines brought into the L1 data cache by fillq relaod	5	
	57	L2_RQSTS.ALL_DEMAND_DATA_ RD	number of any demand and L1 HW prefetch data load requests to L2. 	5	
	58	L2_RQSTS.RFO_HITS	number of store RFO requests that hit the L2 cache. 	5	
	59	L2_RQSTS.RFO_MISS	number of store RFO requests that miss the L2 cache. 	5	
	60	LOAD_HIT_PRE.HW_PF	Non-SW-prefetch load dispatches that hit fillq allocated for H/W prefetch. 	5	
	61	LOAD_HIT_PRE.SW_PF	Non-SW-prefetch load dispatches that hit fillq allocated for S/W prefetch. 	5	
	62	LOCK_CYCLES.CACHE_LOCK_DURATION	Cycles in which the L1D is locked. 	5	
	63	LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION	Cycles in which the L1D and L2 are locked, due to a UC lock or split lock. 	5	
	64	MISALIGN_MEM_REF.LOADS	Speculative cache-line split load uops dispatched to L1D. 	5	
	65	MISALIGN_MEM_REF.STORES	Speculative cache-line split Store-address uops dispatched to L1D. 	6	
	66	TLB_FLUSH.DTLB_THREAD	DTLB flush attempts of the thread-specific entries. 	5	
	67	TLB_FLUSH.STLB_ANY	number of any tlb flush attempts. 	5	
	68	MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT 	Retired load uops whose data source was an on-package LLC hit and cross-core snoop hits. 	5	
	69	MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM 	Retired load uops whose data source was an on-package LLC with HitM responses.  (need change to E if possible)	5	
	70	MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS 	Retired load uops whose data source was an on-package LLC hit and cross-core snoop missed. 	5	
	73	MEM_LOAD_UOPS_RETIRED.HIT_LFB 	Retired load uops which data sources were load uops missed L1 but hit fillq due to preceding miss to the same cache line with data not ready. 	5	
	74	MEM_LOAD_UOPS_RETIRED.L1_HIT 	Retired load uops with L1 cache hits as data sources. 	5	
	75	MEM_LOAD_UOPS_RETIRED.L1_MISS 	Retired load uops whose data source followed an L1 miss 	5	
	77	MEM_LOAD_UOPS_RETIRED.LLC_MISS 	Retired load uops whose data source is LLC miss 	5	
	78	ST_QUEUE.EMPTY	storeq empty	6	
	79	ST_QUEUE.FULL	storeq full	6	
	80	ST_COMPLETE	store done completely(complete in mob,not in rob)	6	
	81	ST_REPLAY.ST_FWD	number of store replays for trigger msreplay since forward mismatch to the load with same cycle	6	
	82	ST_REPLAY.FILL_QUEUE FULL	store replay since it wants push fillq, but fillq is full	6	
	83	ST_REPLAY.WCB_MAT	store replay since it match wcb entry	6	
	84	ST_REPLAY.EVICT	store replay since it match evicting cacheline	6	
	85	ST_REPLAY.NO_DELAY	store replay immediately	6	
	86	STORE_BLOCK.ORDER	Cycles while store is waiting for apreceding matched snoop done	6	
	87	HW_PRE_REQ.DL1_MISS	L1 data cache prefetch requests	5	
	88	SSE_PRE_EXEC.NTA	Prefetch NTA instructions executed	5	
	89	SSE_PRE_EXEC.L1	Prefetch T0 instructions executed	5	
	90	SSE_PRE_EXEC.L2	Prefetch T1 and Prefetch T2 instructions executed	5	
	91	SSE_PRE_MISS.NTA	Prefetch NTA instructions missing all cache levels	5	
	92	SSE_PRE_MISS.L1	PrefetchT0 instructions missing all cache levels	5	
	93	SSE_PRE_MISS.L2	PrefetchT1 and PrefetchT2 instructions missing all cache levels	5	
	94	L1D_CACHE_LOCK.M	Counts lock load that hitM in the L1 data cache	5	
	95	L1D_CACHE_LOCK.E	Counts lock load that hitE in the L1 data cache	5	
	96	L1D_CACHE_LOCK.S	Counts lock load that hitS in the L1 data cache	5	
	97	L1D_CACHE_LOCK.I	Counts lock load that miss in the L1 data cache and fillq	5	
	98	L1D.ALL_M_REPLACEMENT	Cache lines in M state evicted out of L1D due to Snoop HitM or dirty line replacement.	5	
	99	L1D_CACHE_PREFETCHES.STREAM	number of hardware prefetch requests dispatched out of the prefetch FIFO.(no replay)	5	
	100	DTLB_PREFETCHES	number of hardware pte prefetch requests dispatched out of the prefetch FIFO.	5	
	101	DTLB_PREFETCHES_MISSES	number of hardware pte prefetch requests miss the l1d data cache	5	
	102	SnoopQueue.Full	number of FillQ full	5	
	103	L1D_CACHE_PREFETCHES.BoxPreftch	number of hardware prefetch requests dispatched out of the prefetch FIFO.(no replay)	5	
	104	Load.retire	number of retire/commit load	5	
	105	Store.retire	number of retire/commit Store,no LEA	6	
ROB	0	INST_RETIRED.ANY	Number of instructions at retirement. 	0	
	1	UOP_RET.Any	Uop number	0	
	2	UOP_RET.XLATE	Xlate uop number	0	
	3	UOP_RET.UC	Ucode uop number	0	
	4	UOP_RET.No	No uop retire	0	
	5	UOP_RET.1UOP	Retire 1 uop	0	
	6	UOP_RET.2UOP	Retire 2 uops	0	
	7	UOP_RET.3UOP	Retire 3 uops	0	
	8	NATTIVE_BRANCH_TAKEN	Native branch taken	0	
	9	MEM_UOPS_RETIRED.STLB_MISS 	Qualify retired memory uops with STLB miss. Must combine with umask 01H, 02H, to produce counts. 	0	
	10	MEM_UOPS_RETIRED.SPLIT 	Qualify retired memory uops with line split. Must combine with umask 01H, 02H, to produce counts. 	0	
	11	MEM_UOPS_RETIRED.LD_ST 	memory uop retired	0	
	12	REPLAY_CYCLE	Replay cycle	0	
	13	REPLAY_REASON.LD_MISS	Replay reason: load miss	0	
	14	REPLAY_REASON.NOT_LD_MISS	Replay reason: not load miss	0	
	15	MACHINE_CLEARS.SMC 	Number of self-modifying-code machine clears detected. 	0	
	16	MACHINE_CLEARS.MEMORY_ORDERING 	Counts the number of machine clears due to memory order conflicts. (mob replay self)	0	
	17	L1D_PEND_MISS.PENDING 	Increments the number of outstanding L1D misses every cycle. Set Cmaks = 1 and Edge =1 to count occurrences. (fast replay)	0	
	18	CPU_CLK_UNHALTED	Counts the number of thread cycles while the thread is not in a halt state. The thread enters the halt state when it is running the HLT instruction. The core frequency may change from time to time due to power or thermal throttling. 	0	
	19	CPL_CYCLES.RING123 	Unhalted core cycles when the thread is not in ring 0. 	0	
	20	CPL_CYCLES.RING0	Unhalted core cycles when the thread is in ring 0. 	0	
	21	FP_ASSIST.ANY	Cycles with any input/output SSE* or FP assists. 	0	
	22	FP_ASSIST_SIMD_INPUT	Number of SIMD FP assists due to input values. 	0	
	23	FP_ASSIST_SIMD_OUTPUT	Number of SIMD FP assists due to Output values. 	0	
	24	FP_ASSIST_X87_INPUT	Number of X87 FP assists due to input values. 	0	
	25	FP_ASSIST_X87_OUTPUT	Number of X87 FP assists due to Output values. 	0	
	26	ARITH_FPU_DIV_ACTIVE	Cycles that the divider is active, includes INT and FP. Set 'edge =1, cmask=1' to count the number of divides. 	0	
	27	FP_COMP_OPS_EXE_x87	Counts number of X87 uops executed. 	0	
	28	FP_COMP_OPS_EXE_SSE_SCALAR_DP	Counts number of SSE* or AVX-128 double precision FP packed uops executed. 	0	
	29	FP_COMP_OPS_EXE_SSE_PACKED_SP	Counts number of SSE* or AVX-128 single precision FP scalar uops executed. 	0	
	30	FP_COMP_OPS_EXE_SSE_FP_SCALAR_SP	Counts number of SSE* or AVX-128 single precision FP packed uops executed. 	0	
	31	FP_COMP_OPS_EXE.SSE_FP_PACKED_DP	Counts number of SSE* or AVX-128 double precision FP scalar uops executed. 	0	
	32	REPLAY_MULTI	count multi replay 	0	
	33	PARKING_CYCLE.REISSUE	count reissue partking	0	
	34	BLOCK_RET.INT	count int exception block retire	0	
	35	BLOCK_RET.REISSUE	count reissue block retire	0	
	36	BLOCK_RET.MSBLOCK_SELF	count ms replay block retire	0	
	37	RESOURCE_STALLS.BR_MISS_CLEAR	branch miss predict cycle	0	bad
	38	UOPS_ISSUED.SiNGLE_MUL	Counts number of SSE* or AVX-128 single precision FP scalar uops executed. Counts number of SSE* or AVX-128 single precision FP packed uops executed.	0	
	40	BRANCH.ALL	Counts the number of branch instructions retired. 	0	
	41	BRANCH.ALL.MISS	Mispredicted branch instructions at retirement. 	0	
	64	RETIRED_UNIT.MOVE	Uop number retired from Move unit	0	
	65	RETIRED_UNIT.SIMPLE	Uop number retired from Is unit	0	
	66	RETIRED_UNIT.MobUnit1.uop	Uop number retired from Mob1Unit	0	
	67	RETIRED_UNIT.MobUnit2.uop	Uop number retired from Mob2Unit	0	
	69	RETIRED_UNIT.FMUL	Uop number retired from Fmul unit	0	
	70	RETIRED_UNIT.FADD	Uop number retired from Fadd unit	0	
	72	RETIRED_UNIT.MEDIA	Uop number retired from media unit	0	
	128	UCODE_ADDRESS.HIT	Ucode address hit	0	
	130	CPU_CLK.CORE	unhalt core clock	0	not count when perfmux clk gating
	131	CPU_CLK.BUS	unhalt bus clock	0	
L2	0	L2_LINES_IN.ALL	All cache lines filling in L2, include the cache line filled by Prefetch	2,11	
	1	L2_LINES_IN.E	All cache lines in E state filling in L2, include the cache line filled by Prefetch	2,11	
	2	L2_LINES_IN.S	All cache lines in S state filling in L2, include the cache line filled by Prefetch	2,11	
	3	L2_LINES_OUT.DEMAND_CLEAN	Clean L2 cache lines evicted by demand. It will count the Clean L2 cache lines evicted by L1i/L1d load(no L2 Prefetch). 	2,11	
	4	L2_LINES_OUT.DEMAND_DIRTY	Dirty L2 cache lines evicted by demand. It will count the Dirty L2 cache lines evicted by L1i/L1d load(no L2 Prefetch). 	2,11	
	5	L2_LINES_OUT.DIRTY_ALL	All dirty L2 evicted cache lines  	2,11	
	6	L2_LINES_OUT.PF_CLEAN	Clean L2 cache lines evicted by L2 Prefetch	2,11	
	7	L2_LINES_OUT.PF_DIRTY	Dirty L2 cache lines evicted by L2 Prefetch	2,11	
	8	L2_LINES_OUT.ALL	All L2 evicted cache lines (There are some thing wrong, because SizeEng has include. Need confirm I think this is useful).	2,11	
	9	L2_TRANS.ALL_PF	All L2 HW prefetch Transactions accessing L2 pipe.	2,11	
	10	L2_TRANS.ALL_REQUESTS	All Transactions accessing L2 pipe.	2,11	
	11	L2_TRANS.CODE_RD	All Code Read Transactions access to L2 Pipe	2,11	
	12	L2_TRANS.DEMAND_DATA_RD	All Data Read Transactions access to L2 Pipe	2,11	
	13	L2_TRANS.L1D_WB	All Mob Evict request to L2 Pipe	2,11	
	14	L2_TRANS_RFO.SNOOP	RFO (read for ownershaip) bus snoop requests that access L2 cache	2,11	
	15	L2_TRANS_RFO.RDINV	RFO (read for ownershaip) Core requests that access L2 cache	2,11	
	16	L2_TRANS.PIPE_REPLAY	Total L2 Pipe replay	2,11	
	17	L2_TRANS.PIPE_REPLAY_FILLQ_FULL	Total L2 Pipe replay caused by fillQ full	2,11	
	18	L2_TRANS.PIPE_REPLAY_FILLQ_FULL_C0	Core0 L2 Pipe replay caused by fillQ full	2,11	
	19	L2_TRANS.PIPE_REPLAY_FILLQ_FULL_C1	Core1 L2 Pipe replay caused by fillQ full	2,11	
	20	L2_TRANS.PIPE_REPLAY_FILLQ_FULL_C2	Core2 L2 Pipe replay caused by fillQ full	2,11	
	21	L2_TRANS.PIPE_REPLAY_FILLQ_FULL_C3	Core3 L2 Pipe replay caused by fillQ full	2,11	
	22	L2_TOTAL_MISS	Total Load Request Miss in L2	2,11	
	23	L2_TOTAL_MISS_C0	Total C0 Load Request Miss in L2	2,11	
	24	L2_TOTAL_MISS_C1	Total C1 Load Request Miss in L2	2,11	
	25	L2_TOTAL_MISS_C2	Total C2 Load Request Miss in L2	2,11	
	26	L2_TOTAL_MISS_C3	Total C3 Load Request Miss in L2	2,11	
	27	L2_TOTAL_L1D_REQ	All L1d Cacheable Requests accessing L2 pipe.	2,11	
	28	L2_DATA_LOAD_MISS	All L1d Cacheable Requests Miss in L2 pipe.	2,11	
	29	L2_DATA_LOAD_MISS_C0	Total C0 Data Load Request Miss in L2	2,11	
	30	L2_DATA_LOAD_MISS_C1	Total C1 Data Load Request Miss in L2	2,11	
	31	L2_DATA_LOAD_MISS_C2	Total C2 Data Load Request Miss in L2	2,11	
	32	L2_DATA_LOAD_MISS_C3	Total C3 Data Load Request Miss in L2	2,11	
	33	L2_CODE_LOAD_MISS	All L1i Cacheable Requests Miss in L2 pipe.	2,11	
	34	L2_CODE_LOAD_MISS_C0	Total C0 Code Load Request Miss in L2	2,11	
	35	L2_CODE_LOAD_MISS_C1	Total C1 Code Load Request Miss in L2	2,11	
	36	L2_CODE_LOAD_MISS_C2	Total C2 Code Load Request Miss in L2	2,11	
	37	L2_CODE_LOAD_MISS_C3	Total C3 Code Load Request Miss in L2	2,11	
	38	L2_TOTAL_DEMAND_MISS	Total Code & Data Load Request Miss in L2 (non prefetch)	2,11	
	39	L2_FILLQ_PUSH.BPF	Total Box Prefetch Push L2 FillQ 	2,11	
	40	L2_FILLQ_PUSH.SPF	Total Stream Prefetch Push L2 FillQ 	2,11	
	41	L2_FILLQ_PUSH.NOR	Total Cacheable requests Push FillQ (non PF)	2,11	
	42	L2_FILLQ_PUSH.ALL	Total Push FillQ	2,11	
	43	L2_FILLQ_FULL_CYC	Total FillQ Full Cycle	2,11	
	44	L2_SPF_C0	Total Stream Prefetch for Core0	2,11	
	45	L2_BPF_C0	Total Box Prefetch for Core0	2,11	
	46	L2_SPF_C1	Total Stream Prefetch for Core1	2,11	
	47	L2_BPF_C1	Total Box Prefetch for Core1	2,11	
	48	L2_SPF_C2	Total Stream Prefetch for Core2	2,11	
	49	L2_BPF_C2	Total Box Prefetch for Core2	2,11	
	50	L2_SPF_C3	Total Stream Prefetch for Core3	2,11	
	51	L2_BPF_C3	Total Box Prefetch for Core3	2,11	
	52	L2_SNOOP_RSP.CLEAN.NSOK	response clean for RFO bus snoop requests	2,11	
	53	L2_SNOOP_RSP.CLEAN.SOK	response clean for non RFO bus snoop requests	2,11	
	54	L2_SNOOP_RSP.DIRTY	All dirty response for bus snoop requests	2,11	
	55	L2_SNOOP_RSP.DIRTY.NSOK	All dirty response for RFO bus snoop requests	2,11	
	56	L2_SNOOP_RSP.DIRTY.SOK	All dirty response for non RFO bus snoop requests	2,11	
	57	L2_QUERY_RSP.DIRTY	All Core Dirty Response for L2 Query  	2,11	
	58	L2_QUERY_RSP.DIRTY_C0	Core0 Dirty Response for L2 Query  	2,11	
	59	L2_QUERY_RSP.DIRTY_C1	Core1 Dirty Response for L2 Query  	2,11	
	60	L2_QUERY_RSP.DIRTY_C2	Core2 Dirty Response for L2 Query  	2,11	
	61	L2_QUERY_RSP.DIRTY_C3	Core3 Dirty Response for L2 Query  	2,11	
	62	L2_TP_LRU_BANK_CONF	All lost arbitrations caused by Lru Bank conflict	2,11	
	63	L2_TP_MESI_BANK_CONF	All lost arbitrations caused by Mesi Bank conflict	2,11	
	65	UC_BUS_SNOOP_HIT_L1D_EVENT	All bus Snoops that need query L1D	2,11	
	66	UC_BUS_SNOOP_HIT_L1I_EVENT	All bus Snoops that need query L1I	2,11	
	67	UC_BUS_SNOOP_HIT_L2_EVENT	All bus Snoops that only Hit in L2	2,11	
